Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details),amount_dollars
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,,30444
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Salaries and wages,,2287387
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Employee benefits,,319891
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Transportation and communication,,57231
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Services,,1261561
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Supplies and equipment,,18866
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Salaries and wages,,3106255
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Employee benefits,,434306
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Transportation and communication,,8696
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Services,,572182
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Supplies and equipment,,860
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,,1935002
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,,625469
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,,16375
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,,196291
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,,8075
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,,3926663
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,,549376
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,,38345
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,,736152
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,,33809
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,,7004
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,,3274050
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,,14507
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Minister's Salary, the Executive Council Act",49301
"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act",23930
"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,,Salaries and wages,,12972928
"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,,Employee benefits,,1745714
"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,,Transportation and communication,,134606
"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,,Services,,1662584
"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,,Supplies and equipment,,39196
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,,Salaries and wages,,25133799
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,,Employee benefits,,3695709
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,,Transportation and communication,,618293
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,,Services,,8219831
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,,Supplies and equipment,,319046
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,,Transfer payments,Agri-Food Processing Fund,6081940
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,,Transfer payments,Canadian Ag Partnership-Federal-Economic Development,22160236
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,,Transfer payments,COVID-19 Programming,9001593
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,,Transfer payments,Food Industry,13477891
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,,Transfer payments,Grassroots Growth Program,5481795
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,,Transfer payments,Ontario Wine Fund,23805744
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,,Transfer payments,Rural Economic Development Program,4128677
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,,Transfer payments,Small Cidery and Small Distillery Support Program,5387404
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,,Transfer payments,Veterinary Incentive Program,82500
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,,Salaries and wages,,2678812
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,,Employee benefits,,382289
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,,Transportation and communication,,47772
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,,Services,,427359
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,,Supplies and equipment,,10854
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,,Transfer payments,Food Safety Research,18831
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,,Transfer payments,Grants in Lieu of Taxes,1250000
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,,Transfer payments,University of Guelph,71646000
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,,Transfer payments,Canadian Ag Partnership-Federal-Research,9158828
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,,Transfer payments,Agricorp,13492267
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,,Transfer payments,AgriInsurance,52853153
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,,Transfer payments,AgriInvest,21100000
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,,Transfer payments,AgriRecovery,3567378
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,,Transfer payments,AgriStability,45469500
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,,Transfer payments,Financial Protection Programs and Loan Guarantees,54999
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,,Transfer payments,Ontario Risk Management Program,150000000
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,,Transfer payments,Wildlife Damage Compensation - Federal,521928
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,,Transfer payments,Wildlife Damage Compensation - Provincial,552919
"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act",292008
"Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Agriculture and Rural Affairs Capital,,Transfer payments,Research Infrastructure Maintenance and Repairs,4500000
"Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Agriculture and Rural Affairs Capital,,Transfer payments,Agri-Food and Animal Health Laboratory Infrastructure,500000
Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,,Salaries and wages,,17626270
Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,,Employee benefits,,3773576
Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,,Transportation and communication,,129280
Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,,Services,,5307625
Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,,Supplies and equipment,,311472
Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Integrity Commissioner,,Salaries and wages,,2370929
Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Integrity Commissioner,,Employee benefits,,632494
Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Integrity Commissioner,,Transportation and communication,,60390
Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Integrity Commissioner,,Services,,551601
Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Integrity Commissioner,,Supplies and equipment,,27290
Office of the Assembly,Operating Expense,Commission(er)'s Program,Financial Accountability Officer,,Salaries and wages,,2632168
Office of the Assembly,Operating Expense,Commission(er)'s Program,Financial Accountability Officer,,Employee benefits,,612325
Office of the Assembly,Operating Expense,Commission(er)'s Program,Financial Accountability Officer,,Transportation and communication,,12765
Office of the Assembly,Operating Expense,Commission(er)'s Program,Financial Accountability Officer,,Services,,702381
Office of the Assembly,Operating Expense,Commission(er)'s Program,Financial Accountability Officer,,Supplies and equipment,,34773
Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Speaker,,Transportation and communication,,91139
Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Speaker,,Services,,162874
Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Speaker,,Supplies and equipment,,6143
Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Clerk,,Salaries and wages,,1112137
Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Clerk,,Employee benefits,,325328
Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Clerk,,Transportation and communication,,7514
Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Clerk,,Services,,422390
Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Clerk,,Supplies and equipment,,62042
Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,,Salaries and wages,,9269409
Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,,Employee benefits,,2121798
Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,,Transportation and communication,,566257
Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,,Services,,1790861
Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,,Supplies and equipment,,647779
Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,,Recoveries,,-183188
Office of the Assembly,Operating Expense,Office of the Assembly Program,Information and Technology Services,,Salaries and wages,,8722641
Office of the Assembly,Operating Expense,Office of the Assembly Program,Information and Technology Services,,Employee benefits,,2044853
Office of the Assembly,Operating Expense,Office of the Assembly Program,Information and Technology Services,,Transportation and communication,,67165
Office of the Assembly,Operating Expense,Office of the Assembly Program,Information and Technology Services,,Services,,1802731
Office of the Assembly,Operating Expense,Office of the Assembly Program,Information and Technology Services,,Supplies and equipment,,847112
Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,,Salaries and wages,,6339637
Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,,Employee benefits,,1488425
Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,,Transportation and communication,,609728
Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,,Services,,1204087
Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,,Supplies and equipment,,1273615
Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,,Recoveries,,-1406457
Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,,Salaries and wages,,10576837
Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,,Employee benefits,,2406948
Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,,Transportation and communication,,80355
Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,,Services,,7985091
Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,,Supplies and equipment,,3357471
Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,,Recoveries,,-92581
Office of the Assembly,Operating Expense,Office of the Assembly Program,Caucus Support Services,,Salaries and wages,,7495845
Office of the Assembly,Operating Expense,Office of the Assembly Program,Caucus Support Services,,Employee benefits,,1530217
Office of the Assembly,Operating Expense,Office of the Assembly Program,Caucus Support Services,,Transportation and communication,,169278
Office of the Assembly,Operating Expense,Office of the Assembly Program,Caucus Support Services,,Services,,3169510
Office of the Assembly,Operating Expense,Office of the Assembly Program,Caucus Support Services,,Supplies and equipment,,549499
Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,,Salaries and wages,,14848897
Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,,Employee benefits,,5297966
Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,,Transportation and communication,,1540369
Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,,Services,,2198369
Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,,Supplies and equipment,,22539
Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Office Support Services,,Salaries and wages,,29890513
Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Office Support Services,,Employee benefits,,6418875
Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Office Support Services,,Transportation and communication,,2976312
Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Office Support Services,,Services,,14035926
Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Office Support Services,,Supplies and equipment,,4429487
Office of the Assembly,Operating Expense,Office of the Assembly Program,Ontario Legislative Internship Program,,Transfer payments,Ontario Legislative Internship Program,338460
Office of the Assembly,Operating Expense,Office of the Assembly Program,Facility Upgrades,,Services,,2347915
Office of the Assembly,Operating Expense,Office of the Assembly Program,Facility Upgrades,,Supplies and equipment,,270248
Office of the Assembly,Operating Expense,Office of the Assembly Program,Facility Upgrades,,Recoveries,,-366533
Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Salaries and wages,,39113478
Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Employee benefits,,4596999
Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Transportation and communication,,514215
Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Services,,2814420
Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Supplies and equipment,,255393
Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Salaries and wages,,5376083
Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Employee benefits,,701664
Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Transportation and communication,,84643
Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Services,,1138256
Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Supplies and equipment,,30020
Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Red Tape Reduction,Salaries and wages,,6282426
Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Red Tape Reduction,Employee benefits,,839812
Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Red Tape Reduction,Transportation and communication,,32559
Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Red Tape Reduction,Services,,1593450
Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Red Tape Reduction,Supplies and equipment,,23332
Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,,Salaries and wages,,279801
Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,,Employee benefits,,31229
Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,,Transportation and communication,,1423
Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,,Services,,7938
Cabinet Office,Operating Expense,Cabinet Office Program,Statutory Appropriations,,Salaries and wages,"Minister's Salary, the Executive Council Act",40289
Cabinet Office,Operating Expense,Cabinet Office Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act",24584
Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Administration,,Salaries and wages,,11884265
Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Administration,,Employee benefits,,2570021
Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,,Salaries and wages,,1671829
Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,,Employee benefits,,401290
Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,,Transportation and communication,,6373
Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,,Services,,537777
Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,,Supplies and equipment,,6863
Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,,Other transactions,Election Expense Subsidies under the Election Finances Act,20587304
Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,,Recoveries,,-40258
Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Statutory Appropriations,,Other transactions,The Election Act,28047691
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Salaries and wages,,4522890
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Employee benefits,,569376
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Transportation and communication,,125868
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Services,,154767
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Supplies and equipment,,27714
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Salaries and wages,,16694597
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Employee benefits,,2334712
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Transportation and communication,,170887
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Services,,4285584
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Supplies and equipment,,1936517
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,,3290387
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,,564101
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,,15925
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,,658217
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,,968
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,,6203067
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,,841039
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,,29358
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,,871558
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,,6633
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Salaries and wages,,165067
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,,21903
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,,8705066
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,,31568
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Accommodation Services,Salaries and wages,,1597985
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Accommodation Services,Employee benefits,,223965
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Accommodation Services,Transportation and communication,,26878
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Accommodation Services,Services,,43361967
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Accommodation Services,Supplies and equipment,,1731
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Minister's Salary, the Executive Council Act",71679
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistants' Salaries, the Executive Council Act",33334
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act",1451
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Strategic Policy,,Salaries and wages,,21425907
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Strategic Policy,,Employee benefits,,2776669
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Strategic Policy,,Transportation and communication,,72211
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Strategic Policy,,Services,,2681362
"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Strategic Policy,,Supplies and equipment,,15279
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Financial and Employment Supports,,Salaries and wages,,181039485
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Financial and Employment Supports,,Employee benefits,,31706889
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Financial and Employment Supports,,Transportation and communication,,9231113
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Financial and Employment Supports,,Services,,39992044
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Financial and Employment Supports,,Supplies and equipment,,1024093
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Financial and Employment Supports,,Transfer payments,Ontario Disability Support Program - Financial Assistance,5865996541
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Financial and Employment Supports,,Transfer payments,Ontario Disability Support Program - Employment Assistance,13944594
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Financial and Employment Supports,,Transfer payments,Ontario Works - Financial Assistance,2891435936
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Financial and Employment Supports,,Transfer payments,Ontario Works - Employment Assistance,165553509
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Financial and Employment Supports,,Transfer payments,Ontario Drug Benefit Plan,1202994043
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Family Responsibility Office,,Salaries and wages,,30371467
